id,type,name,highway,point_count,coordinates
way/33432093,LineString,,service,7,"116.3194247,39.9965673;116.3193488,39.9969595;116.3193002,39.9971008;116.3192745,39.9974427;116.319286,39.997868;116.3192916,39.9980739;116.319309,39.9983345"
way/33432094,LineString,,service,4,"116.3158019,39.9978115;116.3172457,39.9978766;116.317436,39.9978298;116.3178585,39.9978038"
way/33432105,LineString,,service,4,"116.3182453,39.9983733;116.319309,39.9983345;116.3194354,39.998335;116.3199096,39.9983369"
way/33432185,LineString,,secondary,2,"116.3096421,39.9908058;116.309791,39.9907458"
way/33455540,LineString,颐和园路,tertiary,7,"116.2986565,39.9908872;116.2985685,39.9907377;116.2985104,39.9904418;116.2984603,39.9901865;116.2985453,39.989623;116.2985514,39.9895737;116.2985638,39.9894731"
way/33455609,LineString,,service,17,"116.295591,39.9932276;116.2958277,39.9932283;116.2959788,39.9932371;116.2960919,39.9932569;116.2961469,39.9933237;116.2962151,39.9933821;116.2963303,39.9934158;116.2964112,39.9934395;116.2966355,39.9935428;116.2968335,39.9935584;116.2974696,39.9935263;116.2978608,39.9934429;116.2979713,39.9933861;116.2981019,39.9933191;116.2982644,39.9933121;116.2983114,39.9933092;116.2983944,39.9933053"
way/33455720,LineString,五四路,residential,18,"116.3054565,39.98527;116.3054212,39.98571;116.3053872,39.9861331;116.3053601,39.9866329;116.3053325,39.9871409;116.3053048,39.9876515;116.3052809,39.9880915;116.3052159,39.9886173;116.3051783,39.9889213;116.3051682,39.9890055;116.3051609,39.9891805;116.3051551,39.9893198;116.3051519,39.9893971;116.3051374,39.9896187;116.3051295,39.9897386;116.3051105,39.9902074;116.3050748,39.990637;116.3050398,39.9910584"
way/33455723,LineString,五四体育馆路,service,3,"116.3060528,39.9861604;116.3060381,39.9864178;116.3060061,39.9869801"
way/33455724,LineString,,residential,8,"116.3067264,39.9843091;116.3067203,39.9843836;116.3067195,39.984394;116.3067065,39.9846506;116.3066185,39.9846473;116.3065973,39.9850552;116.3065955,39.9851432;116.3065927,39.9851909"
way/33455857,LineString,中关村南一街,tertiary,4,"116.3140019,39.984027;116.3139957,39.9841859;116.3139853,39.9844506;116.3139821,39.9845326"
